naam,type,zoekterm
Noordelijke IJszee,sea,Noordelijke IJszee
Noordelijke IJszee,sea,Baffinbaai
Noordelijke IJszee,sea,Barentszzee
Noordelijke IJszee,sea,Beaufortzee
Noordelijke IJszee,sea,Tsjoektsjenzee
Noordelijke IJszee,sea,Oost-Siberische zee
Noordelijke IJszee,sea,Groenlandzee
Noordelijke IJszee,sea,Karazee
Noordelijke IJszee,sea,Laptevzee
Noord-Amerika,region,
Zuid-Amerika,region,
Afrika,region,
Europa,region,
IJsland,country,
Ierland,country,
Verenigd Koninkrijk,country,
Noorwegen,country,
Frankrijk,country,
Nova Zembla,region,
Spanje,country,
Italië,country,
Azië,region,
Indonesië,country,
Filipijnen,country,
Maleisië,country,
Australië,country,
Antarctica,region,
Nieuw-Guinea,region,
Nieuw-Zeeland,country,
Grote (Stille) Oceaan,sea,Grote Oceaan
Atlantische Oceaan,sea,
Atlantische Oceaan,sea,Sargassozee
Indische Oceaan,sea,
Rode Zee,sea,
Perzische Golf,sea,
Mississippi,river,
Mississippi,river,Missouri
Amazone,river,
Amazone,river,Ucayali
Caribische Zee,sea,Caraïbische Zee
Ganges,river,
Chang Jiang (Jangtse),river,Jangtsekiang
Chang Jiang (Jangtse),river,Jinsha
Nijl,river,
Nijl,river,Witte Nijl
Ganges,river,
Rocky Mountains,region,
Andes,region,
Sahara,region,
Himalaya,region,
